scale,dataset,RUNTIME,PSNR_SLR_mdan,PSNR_SLR_best,PSNR_SHRT_mdan,PSNR_SHRT_best,PSNR_SHRB_mdan,PSNR_SHRB_best
x2,SET5      ,0.00106382,31.599,34.840,9.125,11.873,9.137,11.821
x4,SET5      ,0.00194359,39.213,42.471,31.277,33.956,26.811,30.418
x2,SET14     ,0.00105047,29.774,34.027,9.771,14.146,9.865,14.356
x4,SET14     ,0.00202858,37.365,41.960,27.922,32.218,24.153,28.637
x2,VDIV2K    ,0.00103819,6.462,36.877,2.296,17.965,2.311,18.227
x4,VDIV2K    ,0.00197232,7.908,45.075,6.191,36.360,5.374,32.366
x2,URBAN100  ,0.00103903,5.685,34.236,2.203,14.813,2.244,15.627
x4,URBAN100  ,0.00203180,7.301,44.052,5.330,35.663,4.568,31.737
